the_geom,postcode,id,name,building_name,street_name,suburb,state,cartodb_id,address,phone_number,latitude,longitude,active,ticket_types_sold,comments,opal_id
0101000020E6100000C4CE868FD7D762407542B0F6EC6C41C0,2535,41860,Shoalhaven Heads Newsagency,,141 Shoalhaven Heads Rd,Shoalhaven,NSW,1695,"141 Shoalhaven Heads Rd, Shoalhaven NSW 2535",,-34.850981556,150.745063556,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,41860
0101000020E6100000F4649E5FCBE162403A5FF62F2C0141C0,2226,41863,Bonnet Bay Supermarket & Liquor,Shop 7A,13-17 Kennedy Cres,Bonnet Bay,NSW,1696,"13-17 Kennedy Cres, Bonnet Bay NSW 2226",,-34.009160991,151.056075868,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,41863
0101000020E61000007656EADD78F4624024BD4A6C6E6340C0,2322,41971,Thornton Post and News,Thornton Shopping Centre,Cnr Taylor Ave & Thomas Coke Dr,Thorton,NSW,1697,"Thornton Shopping Centre, Cnr Taylor Ave & Thomas Coke Dr, Thorton NSW 2322",02 4966 8011,-32.776807343,151.639754255,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,41971
0101000020E6100000F6371A208EE8624003C98F8640E440C0,2093,41975,Manly Vale Pharmacy,,339 Condamine St,Manly Vale,NSW,1698,"339 Condamine St, Manly Vale NSW 2093",,-33.783219166,151.267349292,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,41975
0101000020E610000078524089B8F26240E9024F3B2B8040C0,2283,41982,Blackalls Park Post Office,Shop 15,21 South Pde,Blackalls Park,NSW,1699,"Shop 15, 21 South Pde, Blackalls Park NSW 2283",,-33.001319326,151.585026384,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,41982
0101000020E6100000F615EDEF51E2624093EA756A72DE40C0,2120,41998,Pennant Hills Railway Bookstall,Pennant Hills Railway Station,"Overhead bridge, Yarra Rd",Pennant Hills,NSW,1700,"Pennant Hills Railway Station, Overhead bridge, Yarra Rd, Pennant Hills NSW 2120",,-33.737866695,151.072502101,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,41998
0101000020E6100000AC3AAB0576DC624006D671FC503F41C0,2502,42075,Service NSW Warrawong,,131-137 King St,Warrawong,NSW,1701,"131-137 King St, Warrawong NSW 2502",13 77 88,-34.494659,150.889407,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,42075
0101000020E610000043908312E6F26240F436363B526140C0,2323,42076,Service NSW Maitland,,4 Garnett Rd,East Maitland,NSW,1702,"4 Garnett Rd, East Maitland NSW 2323",13 77 88,-32.760322,151.590585,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,42076
0101000020E6100000BA62CAB07FED6240F80F050D9FA740C0,2259,42077,Service NSW Tuggerah,Homemakers SuperCentre,2 Bryant Dr ,Tuggerah,NSW,1703,"Homemakers SuperCentre, 2 Bryant Dr , Tuggerah NSW 2259",13 77 88,-33.309541347,151.42183723,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,42077
0101000020E610000095B2B1B7E9C462401940C55F3DBE40C0,2790,42078,Service NSW Lithgow,"Shop 51, Valley Plaza",Cnr Lithgow St & Bent St,Lithgow,NSW,1704,"Shop 51, Valley Plaza, Cnr Lithgow St & Bent St, Lithgow NSW 2790",13 77 88,-33.486247989,150.153529975,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,42078
0101000020E6100000B2F23344F1F4624093B76D29717B40C0,2282,42079,Service NSW Warners Bay,"Unit 2, Building D",274 Macquarie Rd,Warners Bay,NSW,1705,"Unit 2, Building D, 274 Macquarie Rd, Warners Bay NSW 2282",13 77 88,-32.964390925,151.654451467,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,42079
0101000020E61000003985F0C35CF562408C779153857340C0,2287,42081,Service NSW Wallsend,"Shop 41, Stockland Wallsend",24 Kokera St, Wallsend,NSW,1706,"Shop 41, Stockland Wallsend, 24 Kokera St,  Wallsend NSW 2287",13 77 88,-32.9025063,151.6675739,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,42081
0101000020E6100000C458FC5F8BE66240038B297CE9EA40C0,2060,99989,EzyMart North Sydney,Shop 2,4 Bay Rd,North Sydney,NSW,1759,"4 Bay Rd, North Sydney NSW 2060",02 8920 1289,-33.835250397,151.204513543,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,99989
0101000020E6100000872ED6A7C4DC62407A8E0F4DB5EC40C0,2164,42083,Service NSW Wetherill Park,"Unit 72, Greenway Plaza",Cnr The Horsley Dr & Elizabeth St,Wetherill Park,NSW,1707,"Unit 72, Greenway Plaza, Cnr The Horsley Dr & Elizabeth St, Wetherill Park NSW 2164",13 77 88,-33.849282868,150.899005812,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,42083
0101000020E6100000E57CB1F762E16240D788601C5CEC40C0,2144,42084,Service NSW Auburn,Red Yard Entertainment Centre,100 Parramatta Rd,Auburn,NSW,1708,"Red Yard Entertainment Centre, 100 Parramatta Rd, Auburn NSW 2144",13 77 88,-33.846561,151.043331,true,OPAL,Get an Opal card or top up. Contact outlet for shop accessibility.,42084
